song,performer,week_id,week_position,year,weeks_on_chart
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-11-28,58,2020,8
Mood,24kGoldn Featuring iann dior,2020-11-21,1,2020,14
Dynamite,BTS,2020-12-05,3,2020,14
Levitating,Dua Lipa Featuring DaBaby,2021-01-16,7,2021,14
Drivers License,Olivia Rodrigo,2021-04-24,9,2021,14
Mood,24kGoldn Featuring iann dior,2020-11-28,1,2020,15
Levitating,Dua Lipa Featuring DaBaby,2021-01-23,6,2021,15
Dynamite,BTS,2020-12-12,10,2020,15
Drivers License,Olivia Rodrigo,2021-05-01,10,2021,15
Levitating,Dua Lipa Featuring DaBaby,2021-02-27,9,2021,20
Mood,24kGoldn Featuring iann dior,2021-01-09,1,2021,21
Levitating,Dua Lipa Featuring DaBaby,2021-03-06,10,2021,21
Mood,24kGoldn Featuring iann dior,2021-01-16,1,2021,22
Levitating,Dua Lipa Featuring DaBaby,2021-03-13,10,2021,22
Mood,24kGoldn Featuring iann dior,2021-01-23,2,2021,23
Levitating,Dua Lipa Featuring DaBaby,2021-03-20,13,2021,23
Mood,24kGoldn Featuring iann dior,2021-01-30,3,2021,24
Levitating,Dua Lipa Featuring DaBaby,2021-03-27,7,2021,24
Mood,24kGoldn Featuring iann dior,2020-12-12,1,2020,17
Levitating,Dua Lipa Featuring DaBaby,2021-02-06,5,2021,17
Dynamite,BTS,2020-12-26,9,2020,17
Drivers License,Olivia Rodrigo,2021-05-15,14,2021,17
Mood,24kGoldn Featuring iann dior,2020-12-19,2,2020,18
Levitating,Dua Lipa Featuring DaBaby,2021-02-13,5,2021,18
Drivers License,Olivia Rodrigo,2021-05-22,16,2021,18
Dynamite,BTS,2020-11-21,17,2020,12
Levitating,Dua Lipa Featuring DaBaby,2021-01-02,27,2021,12
Mood,24kGoldn Featuring iann dior,2020-11-14,1,2020,13
Drivers License,Olivia Rodrigo,2021-04-17,5,2021,13
Levitating,Dua Lipa Featuring DaBaby,2021-01-09,10,2021,13
Dynamite,BTS,2020-11-28,14,2020,13
