song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
Levitating,Dua Lipa Featuring DaBaby,5/8/2021,5,5.0,5,30,2021
Mood,24kGoldn Featuring iann dior,3/13/2021,7,7.0,1,30,2021
Happier,Marshmello & Bastille,3/23/2019,7,8.0,2,30,2019
Don't Start Now,Dua Lipa,6/6/2020,7,8.0,2,30,2020
Memories,Maroon 5,4/25/2020,15,15.0,2,30,2020
Go Crazy,Chris Brown & Young Thug,12/12/2020,15,17.0,9,30,2020
I Hope,Gabby Barrett Featuring Charlie Puth,8/1/2020,16,23.0,16,30,2020
Forever After All,Luke Combs,5/29/2021,22,22.0,2,30,2021
Life Is Good,Future Featuring Drake,8/15/2020,29,30.0,2,30,2020
Dynamite,BTS,3/27/2021,34,43.0,1,30,2021
Good As Hell,Lizzo,3/28/2020,44,49.0,3,30,2020
Intentions,Justin Bieber Featuring Quavo,9/12/2020,49,42.0,5,30,2020
I Don't Care,Ed Sheeran & Justin Bieber,12/14/2019,50,35.0,2,30,2019
Levitating,Dua Lipa Featuring DaBaby,5/15/2021,4,5.0,4,31,2021
Happier,Marshmello & Bastille,3/30/2019,6,7.0,2,31,2019
Don't Start Now,Dua Lipa,6/13/2020,7,7.0,2,31,2020
Mood,24kGoldn Featuring iann dior,3/20/2021,10,7.0,1,31,2021
Go Crazy,Chris Brown & Young Thug,12/19/2020,13,15.0,9,31,2020
Memories,Maroon 5,5/2/2020,18,15.0,2,31,2020
I Hope,Gabby Barrett Featuring Charlie Puth,8/8/2020,18,16.0,16,31,2020
Dynamite,BTS,4/3/2021,26,34.0,1,31,2021
Life Is Good,Future Featuring Drake,8/22/2020,30,29.0,2,31,2020
Intentions,Justin Bieber Featuring Quavo,9/19/2020,48,49.0,5,31,2020
Levitating,Dua Lipa Featuring DaBaby,5/22/2021,2,4.0,2,32,2021
Happier,Marshmello & Bastille,4/6/2019,6,6.0,2,32,2019
Mood,24kGoldn Featuring iann dior,3/27/2021,8,10.0,1,32,2021
Don't Start Now,Dua Lipa,6/20/2020,8,7.0,2,32,2020
I Hope,Gabby Barrett Featuring Charlie Puth,8/15/2020,15,18.0,15,32,2020
Go Crazy,Chris Brown & Young Thug,12/26/2020,16,13.0,9,32,2020
Memories,Maroon 5,5/9/2020,21,18.0,2,32,2020
Dynamite,BTS,4/10/2021,30,26.0,1,32,2021
Life Is Good,Future Featuring Drake,8/29/2020,31,30.0,2,32,2020
Levitating,Dua Lipa Featuring DaBaby,5/29/2021,3,2.0,2,33,2021
Happier,Marshmello & Bastille,4/13/2019,9,6.0,2,33,2019
Mood,24kGoldn Featuring iann dior,4/3/2021,10,8.0,1,33,2021
I Hope,Gabby Barrett Featuring Charlie Puth,8/22/2020,11,15.0,11,33,2020
Don't Start Now,Dua Lipa,6/27/2020,14,8.0,2,33,2020
Go Crazy,Chris Brown & Young Thug,1/2/2021,24,16.0,9,33,2021
Memories,Maroon 5,5/16/2020,26,21.0,2,33,2020
Life Is Good,Future Featuring Drake,9/5/2020,35,31.0,2,33,2020
Go Crazy,Chris Brown & Young Thug,1/9/2021,6,24.0,6,34,2021
Mood,24kGoldn Featuring iann dior,4/10/2021,9,10.0,1,34,2021
Happier,Marshmello & Bastille,4/20/2019,10,9.0,2,34,2019
I Hope,Gabby Barrett Featuring Charlie Puth,8/29/2020,10,11.0,10,34,2020
Don't Start Now,Dua Lipa,7/4/2020,14,14.0,2,34,2020
Memories,Maroon 5,5/23/2020,24,26.0,2,34,2020
